,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Austria,1.0817476612095882,-1.2700511753306538,-0.5148032032028135,-0.4139069446446629,0.0012513710066646487,-0.38154228135869084,-0.5755492001476098
Belgium,0.6810940686338388,-0.4160407703581639,-0.6872919257291377,-0.28336364232178385,0.2735181877764379,-0.37912937595676666,-0.48097170620554686
Bulgaria,-2.6098788164204794,0.2696380047775545,-0.6230310777026805,-1.3319408591693445,0.0019462179626662925,0.0038319304986118813,-0.025134388254432632
Croatia,-1.270148848585836,1.9014268255104607,-0.8319247779702751,0.37190703336644043,-0.3778938384182845,0.434887518304499,0.2996639108812467
Czech Republic,0.16720949379050837,-0.131943477039711,-1.0019785198373157,-0.263449024418505,-1.0474090742606754,0.1278076075798761,0.11502014444206603
Denmark,0.9551907971097163,-0.40962793443305834,-0.7323142277310227,-0.3913394546887649,0.02788840309338372,-0.17305246681902342,0.10660585155056923
Estonia,-2.4877352181041097,-0.0857788814696444,-0.9875375500794278,-0.3039842573972057,0.5555973331485646,0.18472713664430543,-0.38113888001917196
Finland,0.21056315636343761,-0.033717344415038715,1.1744379319726783,-0.6144907661606639,-0.14578036942888928,0.05670506349458796,-0.12894619888918366
Germany,0.5923936529244791,-0.47183193332433204,0.9922546837761065,-0.8437021893569703,-0.9813306685971145,0.15243240079193532,-0.533010019362845
Greece,-1.0004719569396434,3.4068491262602287,0.7380844257797629,-0.7931745067495314,1.0685307081745186,-0.09414867283616024,-0.17000223053600894
Hungary,-1.3968983127833732,-0.034231060419031165,-0.6952388058410235,-0.097312356876437,0.05038806806624508,-0.0316378267282481,0.29079268144706466
Iceland,1.5837197024631102,-1.4772635005073838,-0.30674810214666004,1.2516702838189366,0.16724134021101328,-0.8573310417758915,-0.16768695111419496
Ireland,1.8089176109391973,0.5218076284463815,-0.30161495011918804,1.829775619790857,0.37266761596048326,0.01596537861458823,0.4680922429739415
Italy,0.853223962394835,0.327799053066212,1.1144864027111931,-0.13769418850491644,-0.3772459681625723,-0.6642109760165252,0.03406043393108487
Latvia,-2.306059408593168,-0.675348393861318,-1.3015145737963316,0.37398476739484887,-0.24701931781818745,0.27730388728155375,-0.17338056569987897
Lithuania,-1.5300999099527102,-0.19499691576138867,-1.0768336095909705,1.142023024899614,-0.28313510818854115,0.004186056896357417,-0.34960503021257766
Luxembourg,3.4784349567046355,-1.0762869772577133,-0.3613185471860606,0.3610988300079831,2.0215079975049095,1.1441692926659894,-0.20590377809571797
Netherlands,1.8400534050753588,-0.05722933947663446,-0.45375400766648455,-0.7700932036801268,0.13261693938912625,-0.3791881040999541,0.13295940089106273
Norway,2.1065108336056655,-0.14396302178376916,1.0354632668808212,-1.3626860148324058,-0.5470466543320701,0.79310994848024,0.13871979775786228
Poland,-1.4717738276291168,0.07298507932278511,0.7419188727265472,0.2078830784508448,-0.11625181735849115,0.010299103643452384,0.19786681774759338
Portugal,-0.5264933349515399,1.0347740532442307,-0.12765409635751856,0.05605260866616329,0.4518073942608113,-0.4893742353522945,0.11184553142814502
Slovakia,-0.7829659710814737,-0.17225977664870462,-0.9514089618455434,0.9305252624094257,0.09598245965916788,-0.08166181708618742,0.14780965977311655
Slovenia,-0.06754337538258642,0.797672058122034,-1.1715788898644461,-0.2373581579457479,-0.7151848734136441,0.36590208252459416,-0.11761016922085607
Spain,0.16376695684389567,1.1520659980011712,2.1297961376859393,2.613753330657294,-0.7250666774113627,0.3000846471027879,-0.26524435926780227
Sweden,0.8851053096517572,-0.4028807265493839,1.7960211529434171,-0.24110086150857693,-0.6125887434428,0.0625658122954164,-0.3862755019973939
Switzerland,3.2815861288159867,-0.10822671542458755,-0.7530669478043136,-0.47610399157204353,-0.8138158858915123,-0.05523381303121924,0.988173854144125
Ukraine,-4.580268066769381,-2.8290419876415926,1.8930346593988814,-0.011624747802841286,0.4676643872526696,0.1832464250487669,0.6719571422783627
United Kingdom,0.3408193506673356,0.5057021049510063,1.2641152405958282,-0.565348671831889,1.3011605732574956,-0.5307136808065093,0.25689150977706116
